Customer_ID,Age,Gender,Region,Plan,Contract_Type,Payment_Method,Tenure_Months,Monthly_Charge,Support_Calls,Satisfaction_Score,Usage_Hours,Lifetime_Value,Churn,Churn_Reason
CUST_0001,56,Male,North,Premium,Monthly,UPI,8,77.43,1,8.9,54,619.44,No,Not Churned
CUST_0002,46,Female,West,Basic,Monthly,UPI,33,29.12,2,8.9,61,960.96,Yes,Competitor Offer
CUST_0003,32,Male,Central,Standard,One Year,Credit Card,2,54.77,3,5.7,58,109.54,Yes,High Price
CUST_0004,60,Male,North,Premium,One Year,Debit Card,30,71.83,2,7.3,70,2154.9,No,Not Churned
CUST_0005,25,Male,Central,Standard,Monthly,Bank Transfer,47,45.87,3,8.3,12,2155.89,Yes,Competitor Offer
CUST_0006,38,Male,South,Basic,Monthly,UPI,20,36.53,3,7.5,67,730.6,Yes,Customer Support
CUST_0007,56,Male,North,Standard,One Year,Credit Card,60,64.92,3,9.2,13,3895.2,No,Not Churned
CUST_0008,36,Female,Central,Premium,One Year,UPI,18,84.62,3,6.4,64,1523.16,No,Not Churned
CUST_0009,40,Female,South,Standard,Monthly,Debit Card,43,66.25,4,6.9,67,2848.75,No,Not Churned
CUST_0010,28,Male,West,Premium,One Year,Debit Card,57,108.59,3,7.4,76,6189.63,No,Not Churned
CUST_0011,28,Female,South,Basic,Monthly,Credit Card,10,28.36,2,8.2,7,283.6,No,Not Churned
CUST_0012,41,Male,East,Standard,Monthly,UPI,24,62.45,0,6.7,77,1498.8,Yes,High Price
CUST_0013,53,Female,South,Standard,One Year,Bank Transfer,56,68.84,4,8.4,17,3855.04,No,Not Churned
CUST_0014,57,Female,South,Premium,One Year,Bank Transfer,4,92.95,5,9.4,13,371.8,Yes,High Price
CUST_0015,41,Female,East,Basic,Monthly,UPI,37,24.77,4,6.2,99,916.49,No,Not Churned
CUST_0016,20,Female,Central,Premium,One Year,UPI,4,117.09,1,6.8,93,468.36,No,Not Churned
CUST_0017,39,Male,Central,Standard,One Year,UPI,13,58.11,0,8.5,56,755.43,No,Not Churned
CUST_0018,19,Male,South,Standard,One Year,Credit Card,25,43.16,2,9.9,66,1079.0,No,Not Churned
CUST_0019,41,Female,East,Basic,One Year,Debit Card,13,31.45,4,8.0,12,408.85,Yes,Competitor Offer
CUST_0020,61,Female,East,Premium,One Year,Bank Transfer,18,95.03,1,5.8,99,1710.54,Yes,High Price
CUST_0021,47,Male,West,Basic,Monthly,Credit Card,59,37.11,0,7.3,49,2189.49,Yes,Poor Service
CUST_0022,55,Female,Central,Basic,Monthly,UPI,24,30.61,1,8.4,57,734.64,Yes,Poor Service
CUST_0023,19,Male,North,Basic,Monthly,UPI,2,25.1,4,5.8,67,50.2,Yes,Competitor Offer
CUST_0024,38,Male,Central,Premium,Monthly,Debit Card,48,103.78,2,5.4,99,4981.44,Yes,Customer Support
CUST_0025,50,Male,Central,Standard,One Year,UPI,33,56.28,0,6.5,85,1857.24,No,Not Churned
CUST_0026,29,Female,West,Standard,One Year,Credit Card,58,46.99,3,8.0,61,2725.42,No,Not Churned
CUST_0027,39,Male,North,Basic,Monthly,Credit Card,19,31.47,2,4.9,58,597.93,Yes,High Price
CUST_0028,61,Female,West,Standard,Monthly,Debit Card,9,64.65,6,6.0,23,581.85,Yes,Lack of Features
CUST_0029,42,Male,North,Standard,Monthly,Credit Card,28,40.86,2,7.4,71,1144.08,No,Not Churned
CUST_0030,44,Female,South,Premium,Monthly,Bank Transfer,35,101.54,2,8.6,50,3553.9,Yes,Competitor Offer
CUST_0031,59,Female,North,Premium,One Year,Credit Card,57,87.48,4,7.4,98,4986.36,No,Not Churned
CUST_0032,45,Female,West,Basic,Monthly,Credit Card,39,25.85,3,7.6,14,1008.15,No,Not Churned
CUST_0033,33,Male,Central,Standard,One Year,Credit Card,10,51.78,1,8.5,97,517.8,No,Not Churned
